                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9988,                 5.7271,                 3.8289,                0.00307,                0.10364,                0.00294,                0.00123,                  2.247,                 4.7969,                 3.1925,              0.0033308,              0.0033308,              0.0033308
                      2,                  1.788,                 4.8425,                 2.3971,                0.46953,                0.02966,                0.01001,                0.00629,                 1.6404,                  4.199,                 2.2989,              0.0065322,              0.0065322,              0.0065322
                      3,                 1.5106,                 4.4457,                 2.0087,                0.42645,                0.07044,                0.01817,                0.01154,                 1.5322,                 4.0858,                 2.0611,              0.0096016,              0.0096016,              0.0096016
                      4,                 1.4337,                 4.1475,                 1.8777,                0.36056,                 0.0777,                0.02901,                0.01852,                 1.4821,                  3.921,                 1.9471,               0.009406,               0.009406,               0.009406
                      5,                 1.3749,                  3.896,                  1.798,                0.27538,                0.10678,                0.04093,                0.02636,                 1.4216,                  3.761,                 1.8791,               0.009208,               0.009208,               0.009208
                      6,                 1.3382,                 3.7241,                 1.7561,                0.28373,                0.11679,                0.05469,                0.03646,                 1.3951,                 3.5791,                 1.8351,                0.00901,                0.00901,                0.00901
                      7,                 1.3184,                 3.6352,                 1.7272,                0.25834,                0.13685,                0.06804,                0.04578,                 1.3872,                 3.4994,                 1.8276,               0.008812,               0.008812,               0.008812
                      8,                  1.293,                 3.5422,                 1.7063,                0.23782,                0.15756,                0.08286,                0.05702,                 1.3384,                 3.3965,                 1.7893,               0.008614,               0.008614,               0.008614
                      9,                 1.2753,                 3.4714,                 1.6877,                0.29549,                0.17301,                0.09954,                0.06704,                 1.3404,                 3.3302,                 1.7756,               0.008416,               0.008416,               0.008416
                     10,                 1.2655,                 3.4187,                 1.6632,                0.28959,                0.16019,                0.10182,                 0.0683,                 1.3053,                 3.2508,                 1.7264,               0.008218,               0.008218,               0.008218
                     11,                 1.2382,                 3.3457,                 1.6483,                0.23067,                0.19745,                0.11777,                0.08057,                 1.3033,                 3.1925,                 1.7021,                0.00802,                0.00802,                0.00802
                     12,                 1.2366,                  3.301,                 1.6379,                0.27667,                0.20732,                0.13066,                0.09012,                 1.2906,                 3.1422,                 1.7108,               0.007822,               0.007822,               0.007822
                     13,                 1.2265,                 3.2625,                 1.6263,                0.22781,                0.22227,                0.13572,                 0.0929,                 1.2745,                  3.112,                 1.6817,               0.007624,               0.007624,               0.007624
                     14,                 1.2101,                 3.2075,                 1.6132,                0.27529,                0.22114,                0.15696,                0.10891,                 1.2582,                 3.0589,                 1.6646,               0.007426,               0.007426,               0.007426
                     15,                 1.2122,                 3.1824,                 1.6089,                0.25465,                0.23128,                 0.1651,                0.11518,                 1.2439,                 2.9996,                 1.6528,               0.007228,               0.007228,               0.007228
                     16,                 1.2029,                 3.1446,                 1.5985,                0.29964,                0.23547,                0.18166,                0.12793,                 1.2347,                 2.9426,                 1.6482,                0.00703,                0.00703,                0.00703
                     17,                 1.1971,                 3.1014,                 1.5906,                0.27502,                0.24551,                0.18278,                0.12919,                  1.227,                 2.9272,                 1.6347,               0.006832,               0.006832,               0.006832
                     18,                 1.1921,                 3.0713,                 1.5844,                0.27743,                0.25005,                 0.2005,                0.14214,                 1.2365,                 2.8786,                 1.6364,               0.006634,               0.006634,               0.006634
                     19,                  1.181,                 3.0352,                 1.5746,                0.31414,                 0.2609,                0.20951,                 0.1474,                 1.2162,                 2.8329,                 1.6117,               0.006436,               0.006436,               0.006436
                     20,                 1.1773,                 3.0038,                  1.568,                0.31908,                0.26643,                0.21643,                0.15336,                 1.2134,                 2.7941,                 1.6082,               0.006238,               0.006238,               0.006238
                     21,                   1.17,                 2.9725,                 1.5607,                0.32967,                0.26016,                0.21415,                0.14845,                  1.205,                  2.779,                 1.5977,                0.00604,                0.00604,                0.00604
                     22,                 1.1679,                  2.962,                   1.56,                0.32821,                0.27215,                0.23025,                0.16272,                  1.199,                 2.7215,                 1.5921,               0.005842,               0.005842,               0.005842
                     23,                 1.1611,                 2.9264,                 1.5514,                0.31111,                0.28186,                0.23654,                0.16848,                 1.1971,                 2.7173,                 1.5788,               0.005644,               0.005644,               0.005644
                     24,                 1.1519,                 2.9115,                 1.5489,                0.30665,                0.27781,                 0.2399,                0.17173,                 1.1893,                 2.6901,                 1.5781,               0.005446,               0.005446,               0.005446
                     25,                 1.1501,                 2.8927,                 1.5375,                0.32365,                 0.2876,                 0.2425,                0.17287,                 1.1805,                 2.6746,                 1.5685,               0.005248,               0.005248,               0.005248
                     26,                 1.1472,                 2.8579,                 1.5311,                 0.3196,                0.28703,                 0.2482,                  0.177,                 1.1782,                 2.6499,                 1.5669,                0.00505,                0.00505,                0.00505
                     27,                  1.139,                 2.8305,                 1.5305,                 0.3333,                 0.2993,                0.25633,                0.18301,                 1.1758,                 2.6304,                 1.5602,               0.004852,               0.004852,               0.004852
                     28,                 1.1356,                 2.7967,                 1.5215,                0.33219,                0.29557,                0.26161,                0.18696,                 1.1662,                  2.608,                  1.552,               0.004654,               0.004654,               0.004654
                     29,                 1.1292,                 2.7823,                 1.5191,                0.36104,                0.29059,                0.26537,                 0.1904,                 1.1656,                 2.5969,                 1.5495,               0.004456,               0.004456,               0.004456
                     30,                 1.1248,                 2.7572,                 1.5178,                0.32528,                 0.3103,                0.26911,                0.19563,                 1.1635,                 2.5793,                 1.5466,               0.004258,               0.004258,               0.004258
                     31,                 1.1228,                 2.7287,                 1.5078,                0.33352,                0.31086,                 0.2744,                 0.1989,                 1.1617,                 2.5646,                 1.5418,                0.00406,                0.00406,                0.00406
                     32,                 1.1208,                 2.7228,                 1.5056,                0.34319,                0.31165,                  0.278,                0.20174,                 1.1587,                 2.5565,                 1.5382,               0.003862,               0.003862,               0.003862
                     33,                 1.1181,                  2.704,                 1.5024,                 0.3465,                0.31552,                0.27849,                0.20073,                 1.1544,                 2.5407,                 1.5313,               0.003664,               0.003664,               0.003664
